Neurodiversity,Posted By,Employer,Post Type,Time Posted,Content,Likes,Comments,Shares,Timestamp Collected,Post URL,Post ID,hashtags,diseases,medical_advice,topic,workplace_related,medical_medicine_related,discrimination,medicine_related,relational_challenges,social_emotional_challenges,managing_diseases
Anxiety,a Senior Manager,,Confession,3 months,"As someone with an anxiety disorder, going to see inside out 2 with my toddler was the best thing I did this week.

When it comes on Disney plus, its going to save me a lot of therapy $$$",7.0,1.0,,2024-09-17 16:15:55,https://www.fishbowlapp.com/post/as-someone-with-an-anxiety-disorder-going-to-see-inside-out-2-with-my-toddler-was-the-best-thing-i-did-this-week-when-it-comes,1113.0,No hashtags found,Anxiety,No.,Anxiety and coping strategies,No.,No.,No.,No.,No.,No.,No.
Anxiety,,,Veteran Bowl,6 months,Social anxiety. Generalized anxiety. Panic attacks. Phobias. Almost one-third of adults will experience some form of distressing anxiety at some point in their lifetime. Learn about various types of anxiety and ways to manage them.,3.0,0.0,,2024-09-17 16:16:17,https://www.fishbowlapp.com/post/social-anxiety-generalized-anxiety-panic-attacks-phobias-almost-one-third-of-adults-will-experience-some-form-of-distressing,1114.0,No hashtags found,Anxiety,No.,Anxiety management.,No.,No.,No.,No.,No.,No.,Yes.
Anxiety,,,Depression/Anxiety Talk,6 months,"A simple thing can be done that will help depression and anxiety levels. Drink plenty of water. Whe. You are dehydrated you are tired and anxiety levels go up.
Plenty of water is at least a liter a day.

Glad to be hear",10.0,0.0,,2024-09-17 16:16:51,https://www.fishbowlapp.com/post/a-simple-thing-can-be-done-that-will-help-depression-and-anxiety-levels-drink-plenty-of-water-whe-you-are-dehydrated-you,1115.0,No hashtags found,Depression,No.,Water intake and mental health,No.,No.,No.,No.,No.,No.,No
Anxiety,a Technology Consultant,,Depression/Anxiety Talk,5 months,Hi all my name is ahmed and i am suffering from depression and anxiety. i have a question can a vegetrain diet and alcohol develop or affect your body to a point you get depressed? because thats mainly what happenes to me.,3.0,2.0,,2024-09-17 16:17:25,https://www.fishbowlapp.com/post/hi-all-my-name-is-ahmed-and-i-am-suffering-from-depression-and-anxiety-i-have-a-question-can-a-vegetrain-diet-and-alcohol-develop,1116.0,No hashtags found,Depression,No.,Vegetarian diet and,No.,No.,No.,No.,No.,No.,No.
Anxiety,an Associate,,Lawyers with ADHD,6 months,How do you avoid getting overstimulated / unnecessary anxiety at work,2.0,3.0,,2024-09-17 16:17:48,https://www.fishbowlapp.com/post/how-do-you-avoid-getting-overstimulated-unnecessary-anxiety-at-work,1117.0,No hashtags found,Anxiety,No.,Workplace anxiety.,Yes.,No.,No.,No.,No.,No.,No
Anxiety,a Worker IN Tech 1,,Depression/Anxiety Talk,10 months,Today I felt an overwhelming sense of anxiety feel like I can’t get what I need done or fear of not doing it well. In the past I was so confident about my work. Now I just feel like I am paralyzed at the slightest feedback and magnifies the feedback to no end so that I feel like a failure. It’s as if my heart and soul left and now I am just a shell at work. I am going to therapy and taking medication. Has anyone felt the same and have overcome it?,4.0,2.0,,2024-09-17 16:18:19,https://www.fishbowlapp.com/post/today-i-felt-an-overwhelming-sense-of-anxiety-feel-like-i-cant-get-what-i-need-done-or-fear-of-not-doing-it-well-in-the-past-i,1118.0,No hashtags found,Anxiety,No.,Overcoming work anxiety.,Yes.,No.,No.,Yes.,No.,No.,Yes.
Anxiety,a Graphic Designer,,Staying Healthy,5 months,"I need some advice, I have lost my interest in working, I was burned out and then got depressed. However, right now, I've been okay and I felt like I can finally work again but I still have to work on my anxiety which I easily got overwhelmed and when I'm overwhelmed I usual coping mechanism is freeze mode.",4.0,3.0,1.0,2024-09-17 16:18:41,https://www.fishbowlapp.com/post/i-need-some-advice-i-have-lost-my-interest-in-working-i-was-burned-out-and-then-got-depressed-however-right-now-ive-been-okay,1119.0,No hashtags found,Depression,No.,Work burnout and anxiety,Yes.,No.,No.,No.,No.,No.,Yes.
Anxiety,an Associate,,We're Pregnant!,3 months,I took my magnesium tonight. It usually helps me sleep but I still feel restless. I have a lot on my mind about work and also about my pregnancy because I am at 37 weeks and getting closer to the birth. I have indigestion and I feel very restless. I feel anxiety right now and some adrenaline. But I also feel that this is partly due to the pregnancy hormones. I will be ok. I am on my phone waiting for my body to get tired enough to sleep. I just wanted to talk to someone about it.,2.0,1.0,,2024-09-17 16:18:54,https://www.fishbowlapp.com/post/i-took-my-magnesium-tonight-it-usually-helps-me-sleep-but-i-still-feel-restless-i-have-a-lot-on-my-mind-about-work-and-also-about,1120.0,No hashtags found,Anxiety,No.,Sleep and Pregnancy.,No.,No.,No.,Yes.,No.,No.,No.
Anxiety,a Digital Strategy Consultant 1,,Depression/Anxiety Talk,a year,"Is it possible to get a top-secret clearance if you have a history of panic attacks, depression, anxiety? While working at Amazon AWS I had to go on disability 2/1/22. I am better now, as my problem was purely situational to Amazon. I have resigned at Amazon and next month, I start at a company that is going to sponsor me for a top-secret clearance. I am wondering if this could be an obstacle.",2.0,4.0,,2024-09-17 16:19:17,https://www.fishbowlapp.com/post/is-it-possible-to-get-a-top-secret-clearance-if-you-have-a-history-of-panic-attacks-depression-anxiety-while-working-at-amazon-aws-mkxz-5,1121.0,No hashtags found,Anxiety,No.,Top-secret clearance and mental,Yes.,No.,No.,No,No.,No.,No.
Anxiety,an Associate,,The Worklife Bowl,4 months,My work anxiety is so bad that it’s hard for me to even look at slack right now. 😓,4.0,1.0,,2024-09-17 16:19:40,https://www.fishbowlapp.com/post/my-work-anxiety-is-so-bad-that-its-hard-for-me-to-look-at-slack-right-now,1122.0,No hashtags found,Anxiety,No.,Work anxiety.,Yes.,No.,No.,No.,No.,No.,No
Anxiety,a Senior Auditor,,The Worklife Bowl,8 months,Has anyone completely switched lanes from accounting to something else? I’m great at my job and don’t just absolutely hate it but I don’t feel fulfilled. A lot of my anxiety and stress comes from my work and on top of that I’m not completely happy with what I do. I just don’t know if this is a phase people go through in public accounting or if this is something I see myself doing for the rest of my life.,2.0,1.0,,2024-09-17 16:20:03,https://www.fishbowlapp.com/post/has-anyone-completely-switched-lanes-from-accounting-to-something-else-im-great-at-my-job-and-dont-just-absolutely-hate,1123.0,No hashtags found,Anxiety,No.,Career change from accounting.,Yes.,No.,No.,No.,No.,No.,No.
Anxiety,,,Career Advice for Students,9 months,Barely graduating college this Friday with an Associate’s degree but I’m having trouble looking for a starter job anywhere except fast food areas. I’m struggling because I tend to get a lot of anxiety too. Any suggestions for a first starter job?,4.0,1.0,,2024-09-17 16:20:26,https://www.fishbowlapp.com/post/barely-graduating-college-this-friday-with-an-associates-degree-but-im-having-trouble-looking-for-a-starter-job-anywhere,1124.0,No hashtags found,Anxiety,No.,First job search anxiety.,Yes.,No.,No.,No.,No.,No.,No.
Anxiety,an Intake Paralegal,,Depression/Anxiety Talk,a year,"I have been applying, I have gotten great interviews, been told that I am really great, worth speaking to, great skills. But no offers. Now I am beginning to doubt my skills and wonder if I can really be a good litigation Paralegal as those are mainly the jobs posted. I think I have Work Place PTSD, anxiety & imposter syndrome as I really have not been treated fair by jobs.
If you have gone through this, what did you do or are doing to calm yourself and begin to trust yourself & skills again?",4.0,2.0,,2024-09-17 16:21:00,https://www.fishbowlapp.com/post/i-have-been-applying-i-have-gotten-great-interviews-been-told-that-i-am-really-great-worth-speaking-to-great-skills-but-no,1125.0,No hashtags found,PTSD,No.,Job search anxiety.,Yes.,No.,No.,No,No.,No.,No.
Anxiety,an AEC Consultant,,Depression/Anxiety Talk,a year,"I’m struggling mentally & financially right now. I see a therapist once a week & im going to have to switch from occasional anxiety meds to full time. I’m at a dead end job that is on the verge of closing early next year. Being on my own I can’t afford the medical treatments necessary due to the high cost of my copay. I’m trying to see the brighter picture, I make decent money, live on my own but the cost of living & the lack of respect & advancement opportunities are clouding the positives.",4.0,2.0,,2024-09-17 16:21:23,https://www.fishbowlapp.com/post/im-struggling-mentally-financially-right-now-i-see-a-therapist-once-a-week-im-going-to-have-to-switch-from-occasional-anxiety,1126.0,No hashtags found,Depression,No.,Struggling mentally and financially,Yes.,No.,No.,Yes.,No.,No.,Yes.
Anxiety,an Associate Director,,Depression/Anxiety Talk,a year,"https://joinfishbowl.com/post_67zjbvm3bi

A note for this group: I'm dealing with depression, anxiety, and PTSD as a result of my last job, which only matters this situation so much worse in my mind! How do y'all cope?",4.0,1.0,,2024-09-17 16:21:46,https://www.fishbowlapp.com/post/a-note-for-this-group-im-dealing-with-depression-anxiety-and-ptsd-as-a-result-of-my-last-job-which-only-matters-this-situation-so,1127.0,No hashtags found,PTSD,No.,Coping with mental health,Yes.,No.,No.,No.,No.,No.,No.
Anxiety,a Senior Product Data Analyst,,Jobs in Tech,10 months,I feel fortunate to have secured two interviews out of only about 40 applications over the last week or so but feel all the more pressure and anxiety to not screw up during the process. I feel like I need a pep talk to have a more confident attitude about things.,4.0,1.0,,2024-09-17 16:22:09,https://www.fishbowlapp.com/post/i-feel-fortunate-to-have-secured-two-interviews-out-of-only-about-40-applications-over-the-last-week-or-so-but-feel-all-the,1128.0,No hashtags found,Anxiety,No.,Job interview anxiety.,Yes.,No.,No.,No.,No.,No.,No.
Anxiety,a Manager,,Confession,4 months,Has anyone used beta blockers for anxiety? Do you recommend? Side effects?,,1.0,1.0,2024-09-17 16:22:31,https://www.fishbowlapp.com/post/has-anyone-used-beta-blockers-for-anxiety-do-you-recommend-side-effects,1129.0,No hashtags found,Anxiety,Yes.,Beta blockers for anxiety.,No.,Yes.,No.,Yes.,No.,No.,Yes.
Anxiety,a Consultant 1,,Depression/Anxiety Talk,8 months,My first week back from 2 weeks break. Given my new projects which I have no experience in but I do have templates I could follow. The anxiety came back in full force that I can’t sleep well wake up in the middle of the night with jitters. I want to give it a try but all the fear and anxiety is giving me a hard time to start working on the projects. Any advice on how to overcome this? I have a therapist who I will be talking to too about my concerns as well.,1.0,2.0,,2024-09-17 16:22:53,https://www.fishbowlapp.com/post/my-first-week-back-from-2-weeks-break-given-my-new-projects-which-i-have-no-experience-in-but-i-do-have-templates-i-could-follow,1130.0,No hashtags found,Anxiety,No,Overcoming work anxiety.,Yes.,No.,No.,No.,No.,No.,Yes.
Anxiety,an Entertainment and Influencer Marketing,,Depression/Anxiety Talk,2 months,"Depression and anxiety are two of the most common mental health conditions that affect millions of people worldwide. They can have a profound impact on a person's quality of life, relationships, and overall well-bein

Depression

- Is a mood disorder that can cause feelings of sadness, hopelessness, and a loss of interest in activities that once brought joy

Anxiety:
- Is a normal human emotion that can become a disorder when it becomes excess

Remember, mental health,seeking help is strength.",6.0,0.0,,2024-09-17 16:23:17,https://www.fishbowlapp.com/post/depression-and-anxiety-are-two-of-the-most-common-mental-health-conditions-that-affect-millions-of-people-worldwide-they-can,1131.0,No hashtags found,Depression,No.,Mental health conditions.,No.,No.,No.,No.,No.,No.,No.
Anxiety,a Counsel,,Indian Women Professionals,4 months,"I want to ask about a problem which I think mostly affects south Asian women and it’s unique to this community. It is regarding in laws - how do you handle in laws (parents in law, siblings in law, etc) who are intrusive and manage to ruin any good or happy occasion, who visit without invitation and then stay for very long, and who expect you to cook or have things ready and available for them when they are around? I feel so much intense anxiety related to my mother in law and sister in law.",3.0,3.0,,2024-09-17 16:23:39,https://www.fishbowlapp.com/post/i-want-to-ask-about-a-problem-which-i-think-mostly-affects-south-asian-women-and-its-unique-to-this-community-it-is-regarding-in-laws,1132.0,No hashtags found,Anxiety,No.,Handling intrusive in-laws,No.,No.,No.,No,No.,No.,No.
Anxiety,a Sales Manager,,Confession,10 months,"I worked at Hilti GB a couple of months ago and I am hesitant to say I am victim of bullying. I still struggle to this day with anxiety and stress and had all doors close on me. I had a boss who absolutely hated me and did everything to get me to quit and my breaking point was when 2 toxic team members laid grievances against me, HR put me on suspension after making me wait months for a response and hoping I would quit. I did and I hurt everyday because of it.",3.0,1.0,,2024-09-17 16:24:02,https://www.fishbowlapp.com/post/i-worked-at-hilti-gb-a-couple-of-months-ago-and-i-am-hesitant-to-say-i-am-victim-of-bullying-i-still-struggle-to-this-day-with,1133.0,No hashtags found,Anxiety,No.,Workplace bullying.,Yes.,No.,No.,No.,No.,No.,No.
Anxiety,an Advisory Associate,,Consulting,10 months,"Had an interview last week, I asked the recruiter before interviewing what would be the timeline and they said “the responses to my interviews will be prompt” which gave me the impression I would hear back in a day or two.

After interviewing, I asked if I should expect to hear back by the end of the week and the recruiter said they would have an update after meeting with the team on Tuesday.

This whole process is giving me a lot of anxiety. Should I reach out before the holidays, and ask?",2.0,1.0,,2024-09-17 16:24:24,https://www.fishbowlapp.com/post/had-an-interview-last-week-i-asked-the-recruiter-before-interviewing-what-would-be-the-timeline-and-they-said-the-responses-to-my-cx3s-5,1134.0,No hashtags found,Anxiety,No.,Job interview timeline.,Yes.,No.,No.,No.,No.,No.,No.
Anxiety,a Dance Teacher,,Wellness & Beauty,3 months,"I understand this is one woman’s opinion, but does anyone else agree that health trackers and smartwatches can increase anxiety about one’s health?",1.0,1.0,,2024-09-17 16:24:47,https://www.fishbowlapp.com/post/i-understand-this-is-one-womans-opinion-but-does-anyone-else-agree-that-health-trackers-and-smartwatches-can-increase,1135.0,No hashtags found,Anxiety,No.,Health trackers and anxiety.,No.,No.,No.,No,No.,No.,No.
Anxiety,a Senior Technology Program Manager 1,,Depression/Anxiety Talk,4 months,"I've a problem how to tell a talkative person to stop talking and ask me very confidential questions about my life, what my parents do. It like that person is always in my face how can I get him to stop causing me anxiety and stress",1.0,1.0,,2024-09-17 16:25:11,https://www.fishbowlapp.com/post/ive-a-problem-how-to-tell-a-talkative-person-to-stop-talking-and-ask-me-very-confidential-questions-about-my-life-what-my-parents,1136.0,No hashtags found,Anxiety,No.,Dealing with talkative,Yes.,No.,No.,No.,No.,No.,No
Anxiety,a Mechanical Engineer,,NEURODIVERGENT PEOPLE,a year,"I'm still a pretty new engineer (grad 2022) and I'm struggling to figure out how to operate well in a work place? In addition to anxiety, depression, ADHD and probably autism, I'm chronically ill with POTS. I'm kinda stuck in a cycle where masking and anxiety of not understanding others wears me out and will flare me and I don't have enough time to recover before the cycle starts all over again.

Is there a way to actually get this under control in a predominantly neurotypical workplace?",,1.0,,2024-09-17 16:25:34,https://www.fishbowlapp.com/post/im-still-a-pretty-new-engineer-grad-2022-and-im-struggling-to-figure-out-how-to-operate-well-in-a-work-place-in-addition-to,1137.0,No hashtags found,Autism,No,Workplace accommodations for neuro,Yes.,No.,No.,No.,No.,No.,No.
Anxiety,a Legal Assistant,,Law,7 months,"Hi,

I’m new in Canada, came here on PR in recently, left with 1 NCA exam and planning to write Bar exam in next year.
By gods grace I have got an opportunity to work as a legal assistant/receptionist with a solo practitioner lawyer.
I don’t have a Canadian work experience, I don’t know how do we discuss things & if he will be able to train me. I need bit shadowing..!
My anxiety is getting higher like what if he just dropped me work & then ask me to do it without me knowing how to do it ?",1.0,1.0,,2024-09-17 16:26:08,https://www.fishbowlapp.com/post/hi-im-new-in-canada-came-here-on-pr-in-recently-left-with-1-nca-exam-and-planning-to-write-bar-exam-in-next-year-by-gods-grace-i,1138.0,No hashtags found,Anxiety,No.,Canadian work experience.,Yes.,No.,No.,No.,No.,No.,No.
Anxiety,a Manager,,Depression/Anxiety Talk,3 months,"Hey everyone, I'm currently in a good place mentally, but I'm starting a new job soon and I'm worried my depression and anxiety will resurface. Any tips or advice for managing mental health during a big job transition?",,1.0,,2024-09-17 16:26:31,https://www.fishbowlapp.com/post/hey-everyone-im-currently-in-a-good-place-mentally-but-im-starting-a-new-job-soon-and-im-worried-my-depression-and-anxiety,1139.0,No hashtags found,Anxiety,No.,Managing mental health during job,Yes.,No.,No.,No.,No.,No.,Yes.
Anxiety,a Senior Technology Program Manager 1,,Depression/Anxiety Talk,4 months,Been feeling lack of motivation and after my mid year performance review even though I am improving seems like I am still at risk for a performance plan. It made my depression and anxiety slightly amplified again. I am trying to hang on to my job but feels like it’s a losing battle. Maybe I just need to move on…,4.0,1.0,,2024-09-17 16:27:04,https://www.fishbowlapp.com/post/been-feeling-lack-of-motivation-and-after-my-mid-year-performance-review-even-though-i-am-improving-seems-like-i-am-still,1140.0,No hashtags found,Depression,No.,Job performance and motivation.,Yes.,No.,Yes.,No.,No.,Yes.,No.
Anxiety,a Marketing Automation Specialist,,Interview Tips,8 months,"I have been interviewing for a company, FInished all rounds of interview HR called me on 22nd January and asked for references on 23 Jan they sent emails to referees 25 Jan they finished calling referees ( My referees told me this) 26 Jan we got a holiday Now its Monday.. not sure what will be next step this is giving me anxiety",3.0,2.0,,2024-09-17 16:27:28,https://www.fishbowlapp.com/post/i-have-been-interviewing-for-a-company-finished-all-rounds-of-interview-hr-called-me-on-22nd-january-and-asked-for-references-on,1141.0,No hashtags found,Anxiety,No.,Job interview process.,Yes.,No.,No.,No.,No.,No.,No.
Anxiety,a Cook 1,,Career Pivot,6 months,"5-6 years in customer service in call centers but had a mental breakdown/anxiety attack last year and have decided I can't work in the CS field anymore, especially call centers. What do I do to change careers?",1.0,2.0,,2024-09-17 16:27:51,https://www.fishbowlapp.com/post/5-6-years-in-customer-service-in-call-centers-but-had-a-mental-breakdownanxiety-attack-last-year-and-have-decided-i-cant,1142.0,No hashtags found,Anxiety,No.,Career change after anxiety.,Yes.,No.,No.,No.,No.,No.,No.
Anxiety,a Program Manager,,The Worklife Bowl,8 months,"I am 46 years old and working in tech teams as a delivery lead for the past 15+ years. I am tired of constant anxiety and worthlessness as I don’t have any hands on skill, I really want to learn something new and capitalize on it. Some ideas I have been meaning to explore are - SRE, cloud architecture, mulesoft, Devils.. looking for recommendations from this group and hopefully a validation that it’s not entirely crazy !",3.0,3.0,,2024-09-17 16:28:14,https://www.fishbowlapp.com/post/i-am-46-years-old-and-working-in-tech-teams-as-a-delivery-lead-for-the-past-15-years-i-am-tired-of-constant-anxiety-and-worthlessness-as-i-hdks-5,1143.0,No hashtags found,Anxiety,No.,Career change exploration.,Yes.,No.,No.,No.,No.,No.,No.
Anxiety,a Director of Health & Safety,,Depression/Anxiety Talk,8 months,I am in need of a daily medication to take to manage anxiety and depression. I also have a history of ADD. Any recommendations I can look into before seeing my doctor soon.,1.0,2.0,,2024-09-17 16:28:43,https://www.fishbowlapp.com/post/i-am-in-need-of-a-daily-medication-to-take-to-manage-anxiety-and-depression-i-also-have-a-history-of-add-any-recommendations-i-can-look,1144.0,No hashtags found,Anxiety,Yes.,Medication for mental health,No.,Yes.,No.,Yes.,No.,No.,Yes.
Anxiety,a Director 1,,Jobs in Tech,2 months,Anyone who works or interviewed at PLEO what kind of questions did you get asked by the Hiring Manager? I suffer with severe anxiety and knowing some questions to prepare beforehand would really help.,1.0,1.0,,2024-09-17 16:29:06,https://www.fishbowlapp.com/post/anyone-who-works-or-interviewed-at-pleo-what-kind-of-questions-did-you-get-asked-by-the-hiring-manager-i-suffer-with-severe,1145.0,No hashtags found,Anxiety,No.,Job interview questions.,Yes.,No.,No.,No.,No.,No.,No.
Anxiety,,,Consulting,7 months,Waiting to see if there will be a third stage interview. The anxiety I’ve been having is crazy lol. Last interview they told me within 2 weeks someone will contact me. it’s been 1 and a half weeks. Doesn’t feel good on the inside,3.0,0.0,,2024-09-17 16:29:28,https://www.fishbowlapp.com/post/waiting-to-see-if-there-will-be-a-third-stage-interview-the-anxiety-ive-been-having-is-crazy-lol-last-interview-they-told-me,1146.0,No hashtags found,Anxiety,No.,Job interview anxiety.,Yes.,No.,No.,No.,No.,No.,No.
Anxiety,a Team Coach 1,,Customer Service Representative,6 months,"Hi new here, have about 5-6 years in customer service now in call centers, but last year I had a kind of mental breakdown due to anxiety/job stress and I know now I can't return to this field at all. What do you do to change careers when this is your major area of expertise?",4.0,1.0,1.0,2024-09-17 16:30:02,https://www.fishbowlapp.com/post/hi-new-here-have-about-5-6-years-in-customer-service-now-in-call-centers-but-last-year-i-had-a-kind-of-mental-breakdown-due-to,1147.0,No hashtags found,Anxiety,No,"Changing careers, expertise.",Yes.,No.,No.,No.,No.,No.,No.
Anxiety,a Registered Respiratory Therapist,,Jobs in Healthcare,4 months,"Anyone left there hospital career to do medical coding? Getting too much anxiety working at the hospital and looked into coding and I think I will absolutely love! I just keep reading online that it’s very hard to find a job with no experience in it, is this true and if so any advice?",1.0,3.0,,2024-09-17 16:30:15,https://www.fishbowlapp.com/post/anyone-left-there-hospital-career-to-do-medical-coding-getting-too-much-anxiety-working-at-the-hospital-and-looked-into,1148.0,No hashtags found,Anxiety,No.,Medical coding job prospects.,Yes.,No.,No.,No.,No.,No.,No.
Anxiety,a Product Manager,,The Worklife Bowl,2 months,"Omg, just finished an interview and I’m so rusty & anxiety through the roof! So unlike the old me!

Best mock interview platforms for me to practice interview?

Have some interviews lined up with companies for Product Management roles and I don’t want to bomb them like I did today’s. Please help with anything you think might be useful. Hubby’s company is having layoffs so need to get back to work after my year off ASAP.",3.0,1.0,,2024-09-17 16:30:38,https://www.fishbowlapp.com/post/omg-just-finished-an-interview-and-im-so-rusty-anxiety-through-the-roof-best-mock-interview-platforms-for-me-to-practice,1149.0,No hashtags found,Anxiety,No.,Mock interview platforms.,Yes.,No.,No.,No.,No.,No.,No
Anxiety,an Associate,,Law Exit Opportunities,a month,Anyone else feel like your boss senses when you are applying for other jobs or is it just my anxiety kicking in? 😫,2.0,3.0,,2024-09-17 16:31:01,https://www.fishbowlapp.com/post/anyone-else-feel-like-your-boss-senses-when-you-are-applying-for-other-jobs-or-is-it-just-my-anxiety-kicking-in,1150.0,No hashtags found,Anxiety,No.,Boss and job searching.,Yes.,No.,No.,No.,No.,No.,No
Anxiety,an Account Executive,,Depression/Anxiety Talk,a year,Has anyone tried Magnesium Glycinate for anxiety? I’ve heard it’s made a real difference for people but would love to hear some real experiences,1.0,1.0,,2024-09-17 16:31:24,https://www.fishbowlapp.com/post/has-anyone-tried-magnesium-glycinate-for-anxiety-ive-heard-its-made-a-real-difference-for-people-but-would-love-to-hear,1151.0,No hashtags found,Anxiety,Yes.,Magnesium Glycinate,No.,No.,No.,Yes.,No,No.,Yes.
Anxiety,a Freelancer 1,,The Worklife Bowl,a year,"I have very high anxiety when dealing with the recovery end of the job because when I put stuff on the hangers, some people decide it's hilarious to try on clothing In the middle of the isle and drap them over the rack I do better when no one is in the store",4.0,1.0,,2024-09-17 16:31:47,https://www.fishbowlapp.com/post/i-have-very-high-anxiety-when-dealing-with-the-recovery-end-of-the-job-because-when-i-put-stuff-on-the-hangers-some-people,1152.0,No hashtags found,Anxiety,No.,Anxiety in retail.,Yes.,No.,No.,No.,No.,No.,No.
Anxiety,,,The Worklife Bowl,3 months,"You wrote, “Lately I’ve been feeling anxiety that I’m going to get fired from my job.” If this anxiety feels like it’s coming out of nowhere, get curious and ask: when did this feeling start ￼? Did something happen? Was there a specific trigger or has this been building for a while? Is this a pattern that you’ve experienced before? Are there layoffs happening at the organization? Anxiety is a clue — data— that it’s time to take care of yourself and pay attention to the signals it’s sending. ￼",2.0,0.0,1.0,2024-09-17 16:32:10,https://www.fishbowlapp.com/post/you-wrote-lately-ive-been-feeling-anxiety-that-im-going-to-get-fired-from-my-job-if-this-anxiety-feels-like-its-coming-out,1153.0,No hashtags found,Anxiety,No.,Workplace anxiety triggers.,Yes.,No.,No.,No.,No.,No.,No
Anxiety,a Vice President,,Interview Tips,4 months,"Made it through several interview rounds for a role that would be an incredible step up for me - all have been great, with strong rapport and minimal awkwardness.

I'm now overthinking my most recent thank you notes, and whether they came off too ""thirsty"" - they responded very quickly in prior rounds, and though it's only been a couple of days (and is a short week to begin with!), my brain has entered anxiety mode and is trying to convince me I'm not moving forward.

How do you deal?",2.0,1.0,,2024-09-17 16:32:33,https://www.fishbowlapp.com/post/made-it-through-several-interview-rounds-for-a-role-that-would-be-an-incredible-step-up-for-me-all-have-been-great-with-strong,1154.0,No hashtags found,Anxiety,No.,Job interview anxiety.,Yes.,No.,No.,No.,No.,No.,No.
Anxiety,a Software Engineer,,Software Engineering,6 months,"How do you prepare for interviews? Interviewing is definitely not my strongest side and I usually cannot present myself in the best possible way. For example, during interview I forgot which are primitive and reference types due to the fact that I never actually think about it on my regular work. It’s not like I don’t know them, but I just forget, that and the anxiety. How do you answer such questions without looking like a total newbie?

FYI I’ve been in the industry for almost 5 years.",4.0,0.0,,2024-09-17 16:32:56,https://www.fishbowlapp.com/post/how-do-you-prepare-for-interviews-interviewing-is-definitely-not-my-strongest-side-and-i-usually-cannot-present-myself,1155.0,No hashtags found,Anxiety,No.,Interview preparation.,Yes.,No.,No.,No.,No.,No.,No.
Anxiety,,,Depression/Anxiety Talk,8 months,"My employer has me to the point of numbing depression and anxiety. I have less than 2 months to find a job due to them switching us to 12 hour shifts. On top of a year of constant drama and crazy stuff they let fly (people threatening to hurt others people, drug and alcohol use at work being allowed, you name it it goes on). I have been looking for a new job for months and can't find one. I'm afraid this place is going to push me over the edge.",4.0,1.0,,2024-09-17 16:33:18,https://www.fishbowlapp.com/post/my-employer-has-me-to-the-point-of-numbing-depression-and-anxiety-i-have-less-than-2-months-to-find-a-job-due-to-them-switching-us-to,1156.0,No hashtags found,Anxiety,No.,Toxic work environment.,Yes.,No.,No.,No.,No.,No.,No.
Anxiety,an Intern 1,,Depression/Anxiety Talk,3 months,Lately it seems the stress and anxiety is like an invisible shadow that doesn’t go away even when I try to relax. I don’t think it’s any external stressors right now not sure why I still feel like this. Anyone else feeling like this?,1.0,2.0,,2024-09-17 16:33:52,https://www.fishbowlapp.com/post/lately-it-seems-the-stress-and-anxiety-is-like-an-invisible-shadow-that-doesnt-go-away-even-when-i-try-to-relax-i-dont-think,1157.0,No hashtags found,Anxiety,No.,Stress and anxiety.,No.,No.,No.,No.,No.,No.,No.
Anxiety,a Data Scientist,,Who loves dogs?,8 months,"Anyone here ever work with a CSAT for separation anxiety? How did it go? I am 5 months into training my 2yr old dog, and have progressed from 2 minutes to 45 minutes consistently, but it’s hard to keep going when progress is so slow",2.0,1.0,,2024-09-17 16:34:15,https://www.fishbowlapp.com/post/anyone-here-ever-work-with-a-csat-for-separation-anxiety-how-did-it-go-i-am-5-months-into-training-my-2yr-old-dog-and-have-progressed,1158.0,No hashtags found,Anxiety,No.,Separation anxiety in dogs,No.,No.,No.,No.,No.,No.,No.
Anxiety,an Accountant II,,Depression/Anxiety Talk,10 months,"I’m feeling like my manager is making me redundant on her team as I’m now the only one she manages remotely on her team and it is triggering my depression/anxiety.

Any advice as what I can do?

Already searching for other roles elsewhere.",1.0,1.0,,2024-09-17 16:34:38,https://www.fishbowlapp.com/post/im-feeling-like-my-manager-is-making-me-redundant-on-her-team-as-im-now-the-only-one-she-manages-remotely-on-her-team-and-it,1159.0,No hashtags found,Depression,No.,Workplace anxiety.,Yes.,No.,No.,No.,No.,No.,No
Anxiety,a Regiestered Nurse,,Professionals in Australia,9 months,I work in a setting that is extremely understaffed (although what place isn't) but the amount of stress I'm under...it's a lot. Most of the staff that's left is also getting burnt out and tired. How do the rest of you deal with stress and anxiety at work? Would be good to get different types of work/perspectives,7.0,1.0,,2024-09-17 16:35:03,https://www.fishbowlapp.com/post/i-work-in-a-setting-that-is-extremely-understaffed-although-what-place-isnt-but-the-amount-of-stress-im-under-its-a-lot-most-mmjn-5,1160.0,No hashtags found,Anxiety,No.,Workplace stress management.,Yes.,No.,No.,No.,No.,No.,No.
Anxiety,a Senior Engineer,,Engineering,5 months,"Anyone find a way to minimize work-anxiety dreams? They keep me up, and then I'm tired and not performing well, and then the cycle gets even worse... ugh",1.0,1.0,,2024-09-17 16:35:25,https://www.fishbowlapp.com/post/anyone-find-a-way-to-minimize-work-anxiety-dreams-they-keep-me-up-and-then-im-tired-and-not-performing-well-and-then-the,1161.0,No hashtags found,Anxiety,No.,Work-anxiety dreams.,Yes.,No.,No.,No.,No.,No.,No.
